Название;Цена;Описание;Ссылка на самолетик;Ссылка на картинку
Радиоуправляемый самолет Art-Tech P-51D;13990 ₽;Мощная копия военного самолета P-51D Mustang Parkflyer, бесколлекторный мотор;https://copterdrone.ru/catalog/rc_planes/art_tech_p_51d/;https://copterdrone.ru/copter/res/images/art_tech_p_51d_1.jpg
Радиоуправляемый самолет Top RC A1 Sky Raider 800мм 2.4G 4-ch LiPo RTF Top027C;14350 ₽;Радиоуправляемый самолёт с бесколлекторным двигателем. Ударостойкий материал EPO максимально предотвратит поломки. Модель имеет возможность делать трюки высшего пилотажа. Размах крыла 80 см.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-a1-sky-raider-800mm-24g-4-ch-lipo-rtf-top027c/;https://copterdrone.ru/copter/res/image/uploads/store/product/8022f16dbab2a6506a71a0fd25ee5c62.jpg
Радиоуправляемый самолет Top RC Hurricane 750мм 2.4G 4-ch LiPo RTF Top013C;14350 ₽;Радиоуправляемый военный самолёт. Система управления состоит из 4 каналов. Самолёт полностью готов к полётам.  Двигатель бесколлекторный. Размах крыла 75 см, а длина фюзеляжа 42,2 см. Высокая детализация.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-hurricane-750mm-24g-4-ch-lipo-rtf-top013c/;https://copterdrone.ru/copter/res/image/uploads/store/product/0fd8bf2f0710bb44b2fc158deb475f93.jpg
Радиоуправляемый самолет Top RC P-51D 750мм 2.4G 4-ch LiPo RTF Top017C;14350 ₽;Радиоуправляемый боевой самолёт Соединенных Штатов Америки. Присуствует шасси. Установлен мощный бесколлекторный двигатель 1200 класса. Размах крыла - 75 см. 4 канала управления. Цвет - желтый.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-p-51d-750mm-24g-4-ch-lipo-rtf-top017c/;https://copterdrone.ru/copter/res/image/uploads/store/product/4534028ff1069561a8e6b2c08380f70f.jpg
Радиоуправляемый самолет Top RC P-51D синий 750мм 2.4G 4-ch LiPo RTF Top018C;14350 ₽;Радиоуправляемый боевой самолёт Соединенных Штатов Америки. Присуствует шасси. Установлен мощный бесколлекторный двигатель 1200 класса. Размах крыла - 75 см. 4 канала управления. Цвет - синий.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-p-51d-siniy-750mm-24g-4-ch-lipo-rtf-top018c/;https://copterdrone.ru/copter/res/image/uploads/store/product/561fa64d552d2cb8d04157b42c88327a.jpg
Радиоуправляемый самолет Top RC Tempest 800мм 2.4G 4-ch LiPo RTF - top028C;14350 ₽;Радиоуправляемый военный, британский истребитель. Отличная детализация. Самолёт способен выполнять трюки высшего пилотажа. Размах крыла 80 см, а длина фюзеляжа 67,8 см. Двигатель и регулятор скорости бесколлекторные.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-tempest-800mm-24g-4-ch-lipo-rtf-top028c/;https://copterdrone.ru/copter/res/image/uploads/store/product/51e527b68d6493516a5b37c9b58da40c.jpg
Радиоуправляемый самолет Volantex 757-6 Ranger G2 TW757-6-RTF;14590 ₽;Планер с возможностью установки FPV-оборудования, экшн-камеры. Размах крыла 1200 мм. Прочный и легкий корпус с ярким дизайном.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-volantex-757-6-ranger-g2-tw757-6-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/7886e0214277ab609a7c5b8e370d17af.jpg
Радиоуправляемый самолет Hubsan F22 RTF + HS001;14690 ₽;Оборудован камерой. Дальность до 300 метров. Время полета до 8 минут. GPS-навигация. Автоматический взлет.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-hubsan-f22-rtf-hs001/;https://copterdrone.ru/copter/res/image/uploads/store/product/498aee57a25ddd985132e53d3dcc18ca.jpg
Радиоуправляемый самолет Hubsan H301F;14990 ₽;Среднегабаритный с транслирующей видеокамерой с разрешением 5MPx, выполнен из прочного материала;https://copterdrone.ru/catalog/rc_planes/hubsan_h301f/;https://copterdrone.ru/copter/res/images/hubsan_h301f_1.jpg
Радиоуправляемый самолет WLtoys 2.4G 6CH 3D | 6G RC - X450;15820 ₽;Это инновационный RC-самолет с 3 режимами полета: вертикальный полет/горизонтальный полет самолета 6G/полет с несколькими винтами.;https://copterdrone.ru/catalog/rc_planes/wltoys-fly/radioupravlyaemyy-samolet-wltoys-24g-6ch-3d-6g-rc-x450/;https://copterdrone.ru/copter/res/image/uploads/store/product/d94273553ab78771b420e2d7e4a90333.jpg
Радиоуправляемый самолет FreeWing Pandora KIT - FT30121K;16400 ₽;Радиоуправляемый самолет с размахом крыла 140 см. Вес модели составляет 1,5 кг, а длина 118 см. В наборе только самолет и фурнитура. Два вида шасси. Модель подойдет как для начинающих, так и для более опытных пользователей;https://copterdrone.ru/catalog/rc_planes/freewing/radioupravlyaemyy-samolet-freewing-pandora-kit-ft30121k/;https://copterdrone.ru/copter/res/image/uploads/store/product/8e606ae5adafa55524c1a8a1bacdb9e2.jpg
Радиоуправляемый самолет Top RC Cessna 182 400 class 2.4G 4-ch LiPo RTF top004C;16490 ₽;Радиоуправляемый самолёт общего назначения с охлаждением двигателя. Модель подходит как для начинающих за счет простоты в управлении, так и для более опытных пользователей, благодаря возможности выполнять трюки высшего пилотажа.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-cessna-182-400-class-24g-4-ch-lipo-rtf-top004c/;https://copterdrone.ru/copter/res/image/uploads/store/product/f6b2f3b9b4febc18d9174239cbc1b307.jpg
Радиоуправляемый самолет Multiplex FUNMAN - MPX-264266;16490 ₽;Самолет на радиоуправлении, с размахом крыла 1 метр. Очень хорошая стабилизация, бесколлекторный двигатель, отличная маневренность и малый вес.;https://copterdrone.ru/catalog/rc_planes/multiplex/radioupravlyaemyy-samolet-multiplex-funman-mpx-264266/;https://copterdrone.ru/copter/res/image/uploads/store/product/12ddf63287625946c7092f6408aa13f5.jpg
Радиоуправляемый самолет HobbySky Extra 300 HS21000-RTF (orange);16990 ₽;KIT-набор для сборки модели самолета. Высокая детализация, изготовлен из ударопрочного и легкого EPО. 3D-пилотирование.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-hobbysky-extra-300-hs21000-rtf-orange/;https://copterdrone.ru/copter/res/image/uploads/store/product/4e5982f6f8e720e801e0beaba8c2d2dd.jpg
Радиоуправляемый самолет Top RC FW190 1200мм 2.4G 6-ch LiPo RTF Top002C;17680 ₽;Радиоуправляемый немецкий самолет времен Второй мировой войны. Выполняет трюки высшего пилотажа благодаря 6-канальной системе управления. Присутствуют шасси, которые убираются в корпус самолёта. Двигатель бесколлекторный.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-fw190-1200mm-24g-6-ch-lipo-rtf-top002c/;https://copterdrone.ru/copter/res/image/uploads/store/product/4f00843310dc73dbc876722f7632a051.jpg
Самолет Радиоуправляемый UMX Aero Commander BNF Basic with AS3X;17900 ₽;Модель легендарного самолёта, который покорил ни один десяток авиашоу! Потрясающие лётные характеристики в паре с мощными бесколлекторными моторами заставляют по настоящему удивиться, а система стабилизации AS3X позволяет пилоту делать завораживающие приёмы на радость себе и публике.;https://copterdrone.ru/catalog/rc_planes/samolet-radioupravlyaemyy-umx-aero-commander-bnf-basic-with-as3x/;https://copterdrone.ru/copter/res/image/uploads/store/product/29eb8f3da7b7a74a60ca584204cf4e4b.jpg
Радиоуправляемый самолет FreeWing Focke-Wulf FW-190 KIT - FLW204A;18045 ₽;Радиоуправляемый немецкий самолёт. Длина модели - 110 см, а размах крыла составляет 112 см. KIT набор, в составе только самолёт и необходимая фурнитура. Вес самолёта - 1,35 кг;https://copterdrone.ru/catalog/rc_planes/freewing/radioupravlyaemyy-samolet-freewing-focke-wulf-fw-190-kit-flw204a/;https://copterdrone.ru/copter/res/image/uploads/store/product/2def03a48cdbc0ba70a460364dcb961a.jpg
Радиоуправляемый планер Volantex RC Phoenix 2400мм Brushless PNP - EXA75903P;18080 ₽;Радиоуправляемый самолет Volantexrc Phoenix 2400 представляет собой большой планер с размахом крыльев 2,4 метра в комплектации PNP.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-phoenix-2400mm-brushless-pnp/;https://copterdrone.ru/uploads/products/EXA75903K.jpg
Радиоуправляемый планер Volantex ASW28 TW759-1;18620 ₽;Размах крыла 2600 мм, корпус из EPO, бесколлекторный мотор. Полет до 10 минут без подзарядки, 6 каналов управления.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-planer-volantex-asw28-tw759-1/;https://copterdrone.ru/copter/res/image/uploads/store/product/2be1baf8f09d0d206a92fa05a0551c50.jpg
Радиоуправляемый самолет планер Top RC SKY SURFER 2.4G 4-ch LiPo RTF Top069C;18690 ₽;Модель планера с задним расположением мотора, размах крыльев 140 см, готов к полету прямо из коробки. Долго держится в воздухе за счет восходящих потоков воздуха.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-planer-top-rc-sky-surfer-24g-4-ch-lipo-rtf-top069c/;https://copterdrone.ru/copter/res/image/uploads/store/product/c3befcba21df2ad212ecdba43f0d14ff.jpg
Радиоуправляемый самолет планер Top RC SKY SURFER 2.4G 4-ch LiPo RTF Top068C;18690 ₽;Модель планера с задним расположением мотора, размах крыльев 140 см, готов к полету прямо из коробки;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-planer-top-rc-sky-surfer-24g-4-ch-lipo-rtf-top068c/;https://copterdrone.ru/copter/res/image/uploads/store/product/4caa4c17c0ca6e2149006228cc2e45b9.jpg
Радиоуправляемый самолет Top RC Cessna 182 400 Class Красный TOP003C 2.4Ghz;18990 ₽;Детализированный корпус. Время полета 7-14 минут. Фигуры высшего пилотажа. Бесколлекторный мотор.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-top-rc-cessna-182-400-class-krasnyy/;https://copterdrone.ru/copter/res/image/uploads/store/product/08810a296f0aa0753401467ac5b17a08.jpg
Радиоуправляемый самолет Dynam Cessna 550 Turbo Jet DY8937;19490 ₽;Для опытных пилотов. Высокая детализация, изготовлен из EPP, скорость до 100 км/ч, время полета 6-10 минут, дальность до 1000 м.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-dynam-cessna-550-turbo-jet-dy8937/;https://copterdrone.ru/copter/res/image/uploads/store/product/7ac3255af1037d750b136300974b1b23.jpg
Радиоуправляемый самолет Top RC Jet Star Pro импеллер 2.4G 4-ch LiPo RTF top089C;19590 ₽;Радиоуправляемый реактивный самолёт с бесколлекторным двигателем. Конструкция моторов - импеллерная. Модель способна выполнять трюки высшего пилотажа. Вес составляет всего 887 грамм. Ёмкость аккумулятора 2200 mAh.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-jet-star-pro-impeller-24g-4-ch-lipo-rtf-top089c/;https://copterdrone.ru/copter/res/image/uploads/store/product/104749eef3e14f38da1ac99836180eba.jpg
Радиоуправляемый самолет Art-Tech СУ-27;19800 ₽;Детализированная копия истребителя СУ-27, фигуры высшего пилотажа, радиус до 800 метров;https://copterdrone.ru/catalog/rc_planes/art_tech_su_27/;https://copterdrone.ru/copter/res/images/art_tech_su_27_1.jpg
Радиоуправляемый самолет Top RC ST Beechcraft Bonanza V35 1280мм PNP - top085B;19890 ₽;Радиоуправляемый американский самолет с размахом крыла 1280 мм. Установлен качественный бесколлекторный двигатель. Высокая степень детализации. Регулятор скорости так же бесщёточный. Кит набор. Цвет голубой.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-st-beechcraft-bonanza-v35-1280mm-pnp-top085b/;https://copterdrone.ru/copter/res/image/uploads/store/product/a33b43eb2fa94dde470afafc1ce97d3b.jpg
Радиоуправляемый самолет Top RC ST Beechcraft Bonanza A361280мм PNP - top086B;19890 ₽;Радиоуправляемый американский самолет с размахом крыла 1280 мм. Установлен качественный бесколлекторный двигатель. Высокая степень детализации. Регулятор скорости так же бесщёточный. Кит набор. Цвет фиолетовый;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-st-beechcraft-bonanza-a361280mm-pnp-top086b/;https://copterdrone.ru/copter/res/image/uploads/store/product/52c91c27eabe2d6ccc64f3b399746022.jpg
Самолет радиоуправляемый HobbyZone Sport Cub S 2 RTF (SAFE-технология);19900 ₽;Отличная модель, которая подойдёт как новичку,так и заядлом авиалюбителю - имеется три режима сложности полёта, исходя из вашей квалификации. Технология SAFE(Sensor Assisted Flight Envelope) отвечает за положение пространства модели, что позволит ещё лучше чувствовать управление. Комплектация Ready To Fly.;https://copterdrone.ru/catalog/rc_planes/samolet-radioupravlyaemyy-hobbyzone-sport-cub-s-2-rtf-safe-tehnologiya/;https://copterdrone.ru/copter/res/image/uploads/store/product/adbb8ff58526c4eb4c16f9ad32afb69e.jpg
Радиоуправляемая модель самолёта Multiplex RR FunRacer Orange Edition PNP - MPX-1-00518;19990 ₽;Превосходный яркий самолёт для настоящих любителей авиамоделей. Специальный материал Elapor гораздо более технологичней и универсальней чем привычный EPO. Невероятные виражи на скорости 190 км/ч никого не оставят равнодушым!;https://copterdrone.ru/catalog/rc_planes/multiplex/radioupravlyaemaya-model-samolyota-multiplex-rr-funracer-orange-edition-pnp-mpx-1-00518/;https://copterdrone.ru/copter/res/image/uploads/store/product/7f5d3c5984c09e776b815cf1ea197b1d.jpg
Радиоуправляемый самолет Multiplex FUNCUB NG blue KIT - MPX-1-01525;19990 ₽;Самолет на радиоуправлении, с размахом крыла 1 метр. Очень хорошая стабилизация, бесколлекторный двигатель, отличная маневренность и малый вес.;https://copterdrone.ru/catalog/rc_planes/multiplex/radioupravlyaemyy-samolet-multiplex-funcub-ng-blue-kit-mpx-1-01525/;https://copterdrone.ru/copter/res/image/uploads/store/product/b3f0f6a4b204fd3b2af1216f6233c790.jpg
Радиоуправляемый самолет XK 6G Boeing 787 - XK-A170;19990 ₽;Радиоуправляемый самолет XK 6G Boeing 787 - XK-A170- это четырехканальный самолет, который создан по образцу Boeing 787 и оснащен системами 3D и 6G для повышения устойчивости. Изготовлен из материала EPO, обладает хорошей ударопрочностью и устойчивостью к деформации. С низким сваливанием, плавным полетом, легким управлением качения, перевернутым полетом, сальто и другими характеристиками - идеальный выбор для начинающих и опытных любителей.;https://copterdrone.ru/catalog/rc_planes/xk-innovation-fly/radioupravlyaemyy-samolet-xk-6g-boeing-787-xk-a170/;https://copterdrone.ru/copter/res/image/uploads/store/product/c92e6d9fa05ceb663c67013504b5f9a4.jpg
Радиоуправляемый самлет планер Volantex RC PhoenixS 1600мм Brushless 4ch LiPo RTF 2.4G - EXA74207R;19990 ₽;Большой самолет от Volantex RC с размахом крыльев в 1,6 метра. Материал - EPO. Требуется предварительная установка крыльев. Планер стабилен в полете, есть встроенный 6-осевой гироскоп. Цвет - белый с чёрным и красным.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samlet-planer-volantex-rc-phoenixs-1600mm-brushless-4ch-lipo-rtf-24g-exa74207r/;https://copterdrone.ru/copter/res/image/uploads/store/product/279e88ba7ff7e6c21d5f77e76ead79e5.jpg
Радиоуправляемый планер Top RC Swift (EDF Power System) 1200мм PNP - Top041B;20290 ₽;Планер TOP-RC Swift имеет размах крыльев 1200 мм и мощную силовую установку EDF. Все это позволяет ему развивать скорость до 160 км/ч. Большой размах крыльев и оригинальная конструкция дает возможность планеру легко маневрировать в воздушных потоках.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-top-rc-swift--edf-power-system--1200mm-pnp/;https://copterdrone.ru/uploads/products/top041C.jpg
Радиоуправляемый самолет планер Top RC Lightning V1 2.4G 4-ch LiPo RTF Top35C;20490 ₽;Модель планера с задним расположением мотора, размах крыльев 140 см, готов к полету прямо из коробки. Долго держится в воздухе за счет восходящих потоков воздуха.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-planer-top-rc-lightning-v1-24g-4-ch-lipo-rtf-top35c/;https://copterdrone.ru/copter/res/image/uploads/store/product/9eee3cf15a644521bbb5e5deab7ad700.jpg
Радиоуправляемый планер Multiplex RR FunGlider PNP MPX-264273;20990 ₽;Маневренный планер, корпус из Elapor, размах крыла 1300 мм. Бесколлекторный мотор. Полет 20 минут. 3D-пилотаж.;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-planer-multiplex-rr-funglider-pnp-mpx-264273/;https://copterdrone.ru/copter/res/image/uploads/store/product/da4dfe8c157f87ca942685fe391bf6b8.jpg
Радиоуправляемый самолет Joysway Dragonfly Mode 2 JS6302V2;21360 ₽;Гидросамолет, взлет с воды и с земли. Улучшенная версия. Прочный и легкий герметичный корпус с люком на магнитах. RTF - готов к полету. Размах крыла 70 см. Длина 70 см;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-samolet-joysway-dragonfly-mode-2-js6302v2/;https://copterdrone.ru/copter/res/image/uploads/store/product/7e27a50578bb4fe7c38e364d8268d464.jpg
Радиоуправляемый планер Volantex RC Ranger 2400мм KIT - EXA75709K;22190 ₽;"Радиоуправляемый самолет Volantexrc Ranger 2400&nbsp;представляет собой большой планер с размахом крыльев 2,4 метра в комплектации KIT.";https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-ranger-2400mm-kit/;https://copterdrone.ru/uploads/products/EXA75709K.jpg
Радиоуправляемый самолет Top RC Cessna 182 2.4G 4-ch LiPo RTF Top057C;22290 ₽;Модель планера с задним расположением мотора, размах крыльев 140 см, готов к полету прямо из коробки. Долго держится в воздухе за счет восходящих потоков воздуха.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-cessna-182-24g-4-ch-lipo-rtf-top057c/;https://copterdrone.ru/copter/res/image/uploads/store/product/1100f6896195de50dd7ee0745a4ae099.jpg
Радиоуправляемый самолет Top RC Cessna 182 красный 2.4G 4-ch LiPo RTF Top056C;22290 ₽;Модель планера с задним расположением мотора, размах крыльев 140 см, готов к полету прямо из коробки. Долго держится в воздухе за счет восходящих потоков воздуха.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-cessna-182-krasnyy-24g-4-ch-lipo-rtf-top056c/;https://copterdrone.ru/copter/res/image/uploads/store/product/2fdc1035d602d39b0a09cf986be6a07d.jpg
Радиоуправляемый планер Top RC T1800 (Propeller Power System) 1800мм 2.4G RTF - top091C;22350 ₽;Радиоуправляемый планер с размахом крыла 1,8 метров! Способен развивать высокие скорости., благодаря мощному бесколлекторному двигателю. Аккумулятор LiPo с объёмом 2200 mAh.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-planer-top-rc-t1800-propeller-power-system-1800mm-24g-rtf-top091c/;https://copterdrone.ru/copter/res/image/uploads/store/product/deeea665cb1d9157d9a45c0ed7ec8ed6.jpg
Радиоуправляемый самолет планер Volantex RC Phoenix V2 2000мм Brushless 5ch RTF 2.4G - EXA75902R;22670 ₽;Большой самолет от Volantex RC с размахом крыльев в 2 метра. Материал - EPO, пластик. Требуется предварительная сборка, не требующая дополнительных инструментов. Планер стабилен в полете, прост в сборке и надежен. Цвет - белый с чёрным и красным.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-planer-volantex-rc-phoenix-v2-2000mm-brushless-5ch-rtf-24g-exa75902r/;https://copterdrone.ru/copter/res/image/uploads/store/product/166db5cf167d151d650bc30d455f02d0.jpg
Радиоуправляемый самолет Top RC Cessna 182 синяя 1410мм 2.4G 6-ch LiPo RTF top095C;23490 ₽;Модель планера с задним расположением мотора, размах крыльев 140 см, готов к полету прямо из коробки. 6-ти канальная аппаратура и приемник. Бесколлекторный регулятор скокрости на 30 ампер;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-cessna-182-sinyaya-1410mm-24g-6-ch-lipo-rtf-top095c/;https://copterdrone.ru/copter/res/image/uploads/store/product/dfa2025b317d28e0538d4e53a3db2d8f.jpg
Радиоуправляемый самолет Top RC Riot Pro 2.4G 4-ch LiPo RTF Top049E;23590 ₽;Материал корпуса EPOFLEXY копийного типа, мощный бесколлекторный мотор, алюминиевое шасси. Размах крыла - 140 см;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-riot-pro-24g-4-ch-lipo-rtf-top049e/;https://copterdrone.ru/copter/res/image/uploads/store/product/241e23d8e514571bae4427b7658955d8.jpg
Радиоуправляемый самолет Top RC THUNDER PRO красный 1380 мм 2.4G RTF - TOP087C;23590 ₽;Самолет от Top RC Hobby. Крупная, яркая и заметная при полетах модель. Изготовлена из легкого и прочного EPO, подходит для освоения разных фигур пилотажа. Цвет - красный и белый с синими декалями.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-thunder-pro-krasnyy-1380-mm-24g-rtf-top087c/;https://copterdrone.ru/copter/res/image/uploads/store/product/a162b0c1ba0e6b947e7d4e7f4ab039a6.jpg
Радиоуправляемый самолет Art-Tech Cessna 182;23900 ₽;Трехлопастной винт и бесколлекторный мотор с высоким моментом, виртуальный тренажер;https://copterdrone.ru/catalog/rc_planes/art_tech_cessna_182/;https://copterdrone.ru/copter/res/images/art_tech_cessna_182_1.jpg
Радиоуправляемый самолет Hubsan H301S FPV;23950 ₽;Крупногабаритная модель с бесколлекторным мотором и FullHD транслицией на пульт с 3.5 дюймовым монитором;https://copterdrone.ru/catalog/rc_planes/hubsan_h301s_fpv/;https://copterdrone.ru/copter/res/images/hubsan_h301s_fpv_1.jpg
Радиоуправляемый самолет планер Volantex RC Ranger 1600мм Brushless 4ch RTF 2.4G- EXA75707R;24390 ₽;Планер для новичков с 4-х канальным управлением. Установлен 6-осевой гироскоп и бесколлекторный двигатель 2212/1400KV. Аккумулятор 3-баночный LiPo объёмом 2200 mAh, время полета до 15 минут.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-planer-volantex-rc-ranger-1600mm-brushless-4ch-rtf-24g-exa75707r/;https://copterdrone.ru/copter/res/image/uploads/store/product/297b59588b1b954957c500746cda63a3.jpg
Радиоуправляемый самолет планер Volantex RC ASW28 2600мм Brushless 5 ch RTF 2.4G - EXA75901R;26190 ₽;Большой самолет от Volantex RC с размахом крыльев в 2,6 метра. Материал - EPO. Требуется предварительная сборка, не требующая дополнительных инструментов. Планер стабилен в полете, прост в сборке и надежен. Цвет - белый с чёрным и красным.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-planer-volantex-rc-asw28-2600mm-brushless-5-ch-rtf-24g-exa75901r/;https://copterdrone.ru/copter/res/image/uploads/store/product/8d096528bbc3291d21af9c89757a3ed2.jpg
Радиоуправляемый планер JXD Glider GPS JXD525;26590 ₽;HD-камера 720р, FPV-трансляция 5.8G на смартфон. Дальность 500 метров. Полет до 40 минут. GPS. Автовзлет и посадка. RTF - готов к полету. Размах крыла 115 см. Аккумулятор LiPo 11.1V 2700mAh;https://copterdrone.ru/catalog/rc_planes/radioupravlyaemyy-planer-jxd-glider-gps-jxd525/;https://copterdrone.ru/copter/res/image/uploads/store/product/b103c0367f23c47d2365428aa4f7a843.jpg
Радиоуправляемый самолет Volantex RC Trainstar Ascent 1400мм Brushless 2.4G LiPo RTF with Gyro EXA74708R;26990 ₽;Радиоуправляемый самолёт для новичков и более опытных пользователей. Установлен 6-осевой гироскоп и бесколлекторный двигатель. Аккумулятор 3-баночный LiPo объёмом 2200 mAh, время игры 15 минут. Вес модели - 820 грамм.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-trainstar-ascent-1400mm-brushless-24g-lipo-rtf-with-gyro-exa74708r/;https://copterdrone.ru/copter/res/image/uploads/store/product/f9be0e1f2bf1a8036d71560895c1687d.jpg
Радиоуправляемый самолет FreeWing Focke-Wulf Ta 152H PNP - FLW205P;27680 ₽;Радиоуправляемый перехватчик с размахом крыла 130 см! Использовался преимущественно во времена Второй Мировой Войны. Двигатель бесколлекторный. Регулятор оборотов - 60А;https://copterdrone.ru/catalog/rc_planes/freewing/radioupravlyaemyy-samolet-freewing-focke-wulf-ta-152h-pnp-flw205p/;https://copterdrone.ru/copter/res/image/uploads/store/product/0808f8edd6a0383d113f07bd2989561f.jpg
Радиоуправляемый самолет Volantex RC RangerEX 2000mm Brushless PNP - EXA75703P;28290 ₽;Большой радиоуправляемый планер VolantexRC Ranger EX с задним расположением пропеллера и размахом крыла 2 метра в комплектации PNP. Самолет Volantex Ranger EX создавался как база для установки FPV оборудования.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-rc-rangerex-2000mm-brushless-pnp-exa75703p/;https://copterdrone.ru/uploads/products/radioupravlyayemyy_samolet_volantex_rc_rangerex_2000mm_brushless_pnp_649f9e4631fa5_5328_big.jpg
Радиоуправляемый самолет Top RC B17 1875мм PNP - top073B;28650 ₽;Радиоуправляемый военный четырехмоторный самолет-бомбардировщик. Сделан из легкого и прочного материла EPO. Установлены 4 бесколлекторных двигателя. Размах крыла 1875 мм, а длина фюзеляжа 1350 мм.;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-top-rc-b17-1875mm-pnp-top073b/;https://copterdrone.ru/copter/res/image/uploads/store/product/41f3038712e67a6287fa6d9fd9ff6b3d.jpg
Радиоуправляемый самолет планер Top RC Lightning V2 2.4G 4-ch LiPo RTF Top050C;28790 ₽;Большой планер - размах крыльев 150 см, готов к полету прямо из коробки. Долго держится в воздухе за счет восходящих потоков воздуха. Модульная сборка, прочные крылья и фюзеляж;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-planer-top-rc-lightning-v2-24g-4-ch-lipo-rtf-top050c/;https://copterdrone.ru/copter/res/image/uploads/store/product/7ace873bb3095dd2e76c1b39c768d1e3.jpg
Радиоуправляемый самолет планер Top RC Swift 2.4G 4-ch LiPo RTF Top041C;28790 ₽;Скорость полета до 160 км/ч, мощный бесколлекторный мотор, прочный материал EPO. Размах крыла - 120 см;https://copterdrone.ru/catalog/rc_planes/top-rc/radioupravlyaemyy-samolet-planer-top-rc-swift-24g-4-ch-lipo-rtf-top041c/;https://copterdrone.ru/copter/res/image/uploads/store/product/a7779741722d2b67ef919ec6633404f9.jpg
Радиоуправляемый самолет Volantex 747-8 Trainstar Ascent RTF 2.4G - TW747-8-RTF;29295 ₽;Большой самолет от Volantex RC с размахом крыльев в 1,4 метра. Стабилен в полете, прост в сборке и надежен. В комплекте - электродвигатель 4023/1050KV, регулятор оборотов, 4 сервомашинки 9 г. Цвет планера - белый с чёрным и красным.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyy-samolet-volantex-747-8-trainstar-ascent-rtf-24g-tw747-8-rtf/;https://copterdrone.ru/copter/res/image/uploads/store/product/0cc413c6961e8d7d9e80febd84f2c292.jpg
Радиоуправляемый планер Volantex RC Ranger 2400мм KIT - EXA75709P;29590 ₽;Радиоуправляемый самолет Volantexrc Ranger 2400 представляет собой большой планер с размахом крыльев 2,4 метра в комплектации KIT.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-planer-volantex-rc-ranger-2400mm-kit/;https://copterdrone.ru/uploads/products/EXA75709K.jpg
