Название;Цена;Описание;Ссылка на самолетик;Ссылка на картинку
Радиоуправляемый самолет B17 Air fortress EPP 2.4G - FX817-Green;3240 ₽;Радиоуправляемая модель бомбардировщика В-17 с четырьмя винтами. Дальность полета - до 120 метров. Время полета - до 15 минут. Аккумулятор с ёмкостью 300 мАч и напряжением 3.7В.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-b17-air-fortress-epp-24g-fx817-green/;https://copterdrone.ru/copter/res/image/uploads/store/product/a47ef64ced4e8b065f67f0b1adce404c.jpg
Радиоуправляемый самолет F35 Fighter 2.4G - FX635;3290 ₽;Радиоуправляемый американский военный истребитель. Коллекторный мотор - 2 штуки. Установлен 3 осевой гироскоп, который поможет в управлении начинающим пользователям. Размах крыла - 250 мм. Дальность полета - 120 метров.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-f35-fighter-24g-fx635/;https://copterdrone.ru/copter/res/image/uploads/store/product/68839bab8eed62e7f8e700cfa9a9d4b5.jpg
Радиоуправляемый самолет Fei Xiong F35 Fighter 2.4G - FX635-GREY;3290 ₽;Радиоуправляемый американский военный истребитель. Коллекторный мотор - 2 штуки. Установлен 3 осевой гироскоп, который поможет в управлении начинающим пользователям. Размах крыла - 250 мм. Дальность полета - 120 метров.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyj-samolet-fei-xiong-f35-fighter-2-4g---fx635-grey/;https://copterdrone.ru/uploads/products/37482.0x600.jpg
Радиоуправляемый самолет FX819 Aerobus EPP 2.4G - FX819;3490 ₽;Радиоуправляемый самолёт гражданской авиации. В модель установлен LiPo аккумулятор ёмкостью 300 mAh, благодаря которому длительность полёта будет составлять 15-20 минут. Размах крыла - 40 см, а дальность полёта - 200 метров.;https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-fx819-aerobus-epp-24g-fx819/;https://copterdrone.ru/copter/res/image/uploads/store/product/9eda66b7cf6af146a680be3fe39fe787.jpg
Самолет радиоуправляемый WLToys А130 RTF 2.4Ghz - WLT-A130;3540 ₽;Самолет сделанный на базе транспортного самолета, модифицированный в конечном итоге в военно-транспортный. Высокая детализация и сверх легкий материал не оставит равнодушным никого. Качественный коллекторный двигатель прослужит очень долго.;https://copterdrone.ru/catalog/rc_planes/samolet-radioupravlyaemyy-wltoys-a130-rtf-24ghz-wlt-a130/;https://copterdrone.ru/copter/res/image/uploads/store/product/030590eaab46226894ff3acbe8ee5091.jpg
Радиоуправляемый самолет WLToys Predator MQ-9 2.4G - WLT-A110;3680 ₽;Этот радиоуправляемый самолет в точности повторяет внешний вид американского разведывательного беспилотника MQ-9.;https://copterdrone.ru/catalog/rc_planes/wltoys-fly/radioupravlyaemyy-samolet-wltoys-predator-mq-9-24g-wlt-a110/;https://copterdrone.ru/copter/res/image/uploads/store/product/7b9cb70767e66ae3160ac95468be8729.jpg
Радиоуправляемый самолет WLtoys A120-Lig RTF 2.4G - A120-Lig;3890 ₽;Давайте познакомимся с супер уникальным самолетом с фиксированным крылом, который разработан точно на основе знаменитого гигантского airbus A380!;https://copterdrone.ru/catalog/rc_planes/wltoys-fly/radioupravlyaemyy-samolet-wltoys-a120-lig-rtf-24g-a120-lig/;https://copterdrone.ru/copter/res/image/uploads/store/product/fc51fd9a1f88fa132ac794ed34cf5069.jpg
Радиоуправляемый самолет планер Fei Xiong RTF 2.4G - FX802;3940 ₽;"Радиоуправляемый планер с радиусом действия 100 метров. Длительность полёта на аккумуляторе до 10 минут. Время полёта может быть существенно увеличенно за счет способности модели планировать по воздуху.&nbsp;";https://copterdrone.ru/catalog/rc_planes/fei-xiong/radioupravlyaemyy-samolet-planer-fei-xiong-rtf-24g-fx802/;https://copterdrone.ru/copter/res/image/uploads/store/product/784ad87d1972b7353bc9373f24919a83.jpg
Радиоуправляемый самолет Volantex RC Sport Cub 400мм (красный) 2.4G RTF - EXA76202RR;3990 ₽;Радиоуправляемый самолет Volantex RC Sport Cub 400мм для начинающих, готовый к полету. Простая в управлении игрушка на открытом воздухе с системой 6-осевой гироскопической стабилизации.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-sport-cub-400mm--krasnyj--2-4g-2ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76104R_00.jpg
Радиоуправляемый самолет Volantex RC Sport Cub 400мм (синий) 2.4G RTF - EXA76202RB;3990 ₽;Радиоуправляемый самолет Volantex RC Sport Cub 400мм для начинающих, готовый к полету. Простая в управлении игрушка на открытом воздухе с системой 6-осевой гироскопической стабилизации.;https://copterdrone.ru/catalog/rc_planes/volantex/radioupravlyaemyj-samolet-volantex-rc-sport-cub-400mm--sinij--2-4g-2ch-lipo-rtf-with-gyro/;https://copterdrone.ru/uploads/products/EXA76202RB_01.jpg
